Vertex 1,Vertex 2,Bond Strength
Akaka,Alexander,0.483
Akaka,Allard,0.354
Akaka,Baucus,0.849
Akaka,Bayh,0.84
Akaka,Bennett,0.5
Akaka,Biden,0.949
Akaka,Bingaman,0.934
Akaka,Bond,0.478
Akaka,Boxer,0.909
Akaka,Brown,0.941
Akaka,Brownback,0.453
Akaka,Bunning,0.387
Akaka,Burr,0.385
Akaka,Byrd,0.873
Akaka,Cantwell,0.93
Akaka,Cardin,0.942
Akaka,Carper,0.917
Akaka,Casey,0.931
Akaka,Chambliss,0.404
Akaka,Clinton,0.929
Akaka,Coburn,0.302
Akaka,Cochran,0.485
Akaka,Coleman,0.628
Akaka,Collins,0.69
Akaka,Conrad,0.909
Akaka,Corker,0.449
Akaka,Cornyn,0.37
Akaka,Craig,0.473
Akaka,Crapo,0.435
Akaka,DeMint,0.315
Akaka,Dodd,0.945
Akaka,Dole,0.392
Akaka,Domenici,0.536
Akaka,Dorgan,0.855
Akaka,Durbin,0.934
Akaka,Ensign,0.379
Akaka,Enzi,0.372
Akaka,Feingold,0.894
Akaka,Feinstein,0.922
Akaka,Graham,0.435
Akaka,Grassley,0.469
Akaka,Gregg,0.408
Akaka,Hagel,0.545
Akaka,Harkin,0.934
Akaka,Hatch,0.452
Akaka,Hutchison,0.425
Akaka,Inhofe,0.33
Akaka,Inouye,0.968
Akaka,Isakson,0.428
Akaka,Kai,0.729
Akaka,Kennedy,0.921
Akaka,Kerry,0.936
Akaka,Klobuchar,0.939
Akaka,Kohl,0.939
Akaka,Kyl,0.403
Akaka,Landrieu,0.818
Akaka,Lautenberg,0.925
Akaka,Leahy,0.938
Akaka,Levin,0.921
Akaka,Lieberman,0.888
Akaka,Lincoln,0.913
Akaka,Lott,0.446
Akaka,Lugar,0.596
Akaka,Martinez,0.452
Akaka,McCain,0.467
Akaka,McCaskill,0.804
Akaka,McConnell,0.437
Akaka,Menendez,0.934
Akaka,Mikulski,0.93
Akaka,Murkowski,0.558
Akaka,Murray,0.947
Akaka,Nelson (FL),0.905
Akaka,Nelson (NE),0.803
Akaka,Obama,0.917
Akaka,Pryor,0.853
Akaka,Reed,0.947
Akaka,Reid,0.918
Akaka,Roberts,0.434
Akaka,Rockefeller,0.884
Akaka,Salazar,0.935
Akaka,Sanders,0.909
Akaka,Schumer,0.932
Akaka,Sessions,0.422
Akaka,Shelby,0.459
Akaka,Smith,0.63
Akaka,Snowe,0.722
Akaka,Specter,0.657
Akaka,Stabenow,0.905
Akaka,Stevens,0.563
Akaka,Sununu,0.438
Akaka,Tester,0.835
Akaka,Thune,0.465
Akaka,Vitter,0.373
Akaka,Voinovich,0.582
Akaka,Warner,0.517
Akaka,Webb,0.861
Akaka,Whitehouse,0.959
Akaka,Wyden,0.951
Akaka,Zeus,0.5
Alexander,Allard,0.831
Alexander,Baucus,0.554
Alexander,Bayh,0.487
Alexander,Bennett,0.839
Alexander,Biden,0.424
Alexander,Bingaman,0.483
Alexander,Bond,0.841
Alexander,Boxer,0.457
Alexander,Brown,0.458
Alexander,Brownback,0.832
Alexander,Bunning,0.835
